dep,arr,tof_days,c3_km2s2,v_inf_kms,dv1_ms,dv2_ms,total_dv_ms
2026-12-19,2027-10-08,293,1.1401233962898703,1.0677656092466503,1067.7656092466502,890.8833426525109,1958.6489518991611
2026-12-19,2027-10-07,292,1.1402425628024628,1.0678214096010918,1067.8214096010918,890.784245237088,1958.6056548381798
2026-12-18,2027-10-07,293,1.1405699235957012,1.067974683031251,1067.974683031251,890.6123675341524,1958.5870505654034
2026-12-20,2027-10-08,292,1.1409521403435927,1.0681536127091424,1068.1536127091424,890.8450727224566,1958.998685431599
2026-12-18,2027-10-06,292,1.1410597319775728,1.0682039748931722,1068.2039748931722,890.8253195758248,1959.029294468997
2026-12-19,2027-10-09,294,1.1410833962218725,1.0682150514862971,1068.2150514862972,891.9070871254677,1960.122138611765
2026-12-18,2027-10-08,294,1.141145944580048,1.068244328129126,1068.244328129126,891.313219194438,1959.557547323564
2026-12-20,2027-10-09,293,1.141211273719268,1.0682749054991734,1068.2749054991734,891.2597342820361,1959.5346397812095
2026-12-19,2027-10-06,291,1.1413950949213227,1.068360938504082,1068.360938504082,891.5733587918907,1959.9342972959726
2026-12-20,2027-10-07,291,1.14173947920683,1.0685221004765555,1068.5221004765556,891.3294123384974,1959.851512815053
2026-12-17,2027-10-06,293,1.1423903026947462,1.0688266008547627,1068.8266008547628,890.4474576144341,1959.274058469197
2026-12-20,2027-10-10,294,1.142563934977952,1.0689078234244298,1068.9078234244298,892.6096708637286,1961.5174942881586
2026-12-18,2027-10-05,291,1.1425707742563989,1.0689110226096459,1068.911022609646,891.9155024418085,1960.8265250514544
2026-12-17,2027-10-07,294,1.1425906096916447,1.0689203009072494,1068.9203009072494,890.8292725157113,1959.7495734229606
2026-12-18,2027-10-09,295,1.1428376687682804,1.0690358594398415,1069.0358594398415,892.9653969341721,1962.0012563740136
2026-12-19,2027-10-10,295,1.1431737504164798,1.069193037022071,1069.193037022071,893.8928184310375,1963.0858554531085
2026-12-17,2027-10-05,292,1.1432434913289897,1.069225650332515,1069.225650332515,890.968413184877,1960.194063517392
2026-12-21,2027-10-09,292,1.143310363370111,1.069256921123315,1069.256921123315,891.0070204924389,1960.2639416157538
2026-12-20,2027-10-06,290,1.143531193045647,1.0693601792874312,1069.3601792874313,892.6773391290641,1962.0375184164955
2026-12-19,2027-10-05,290,1.1435400488093659,1.0693643199627365,1069.3643199627365,893.2151543448184,1962.5794743075548
2026-12-21,2027-10-08,291,1.1437254451688146,1.0694510017615648,1069.4510017615648,891.1834064201504,1960.6344081817151
2026-12-17,2027-10-08,295,1.143893024965609,1.069529347407358,1069.529347407358,892.1515377830069,1961.680885190365
2026-12-21,2027-10-10,293,1.1439558234879454,1.0695587050218167,1069.5587050218166,891.7402108878013,1961.2989159096178
2026-12-20,2027-10-11,295,1.1450626782531113,1.0700760151751423,1070.0760151751422,894.9320072195334,1965.0080223946757
2026-12-18,2027-10-04,290,1.1450632148613904,1.0700762659088325,1070.0762659088325,893.8473028612169,1963.9235687700493
2026-12-17,2027-10-04,291,1.14510673727734,1.070096601843656,1070.096601843656,892.3554602329571,1962.452062076613
2026-12-21,2027-10-07,290,1.1451577729880518,1.0701204478880177,1070.1204478880177,892.234095253393,1962.3545431414107
2026-12-16,2027-10-06,294,1.1452465150648639,1.070161910677475,1070.161910677475,890.4557378247233,1960.6176485021983
2026-12-16,2027-10-05,293,1.1454140743493713,1.0702401946990083,1070.2401946990083,890.3885798402599,1960.6287745392683
